id,application_date,segment,case_count
74,2019-09-17,1,3462.353333333333
75,2019-09-18,1,3601.9199999999996
76,2019-09-19,1,3600.8133333333326
77,2019-09-20,1,3533.6333333333328
78,2019-09-21,1,2778.2466666666664
79,2019-09-22,1,1980.2266666666665
80,2019-09-23,1,3767.8266666666673
81,2019-09-24,1,3301.306666666666
82,2019-09-25,1,3433.9866666666667
83,2019-09-26,1,3413.1333333333328
84,2019-09-27,1,3443.3
85,2019-09-28,1,3009.3533333333335
86,2019-09-29,1,2528.58
87,2019-09-30,1,4534.0
88,2019-07-24,2,27033.64666666666
89,2019-07-25,2,26293.119999999995
90,2019-07-26,2,24717.26
91,2019-07-27,2,22899.46
92,2019-07-28,2,16499.079999999998
93,2019-07-29,2,11447.880000000001
94,2019-07-30,2,7826.493333333333
95,2019-07-31,2,1922.6466666666665
96,2019-08-01,2,6227.3933333333325
97,2019-08-02,2,6107.993333333335
98,2019-08-03,2,5327.6066666666675
99,2019-08-04,2,4807.206666666667
100,2019-08-05,2,4350.320000000001
101,2019-08-06,2,3994.3866666666663
102,2019-08-07,2,3968.293333333333
103,2019-08-08,2,4143.6
104,2019-08-09,2,4586.513333333333
105,2019-08-10,2,5401.599999999999
106,2019-08-11,2,13148.706666666665
107,2019-08-12,2,26275.59333333333
108,2019-08-13,2,30156.013333333332
109,2019-08-14,2,30717.88666666667
110,2019-08-15,2,24723.133333333335
111,2019-08-16,2,30596.886666666665
112,2019-08-17,2,28615.253333333338
113,2019-08-18,2,14596.746666666666
114,2019-08-19,2,30020.61333333333
115,2019-08-20,2,30483.453333333327
116,2019-08-21,2,30077.173333333332
117,2019-08-22,2,28532.453333333327
118,2019-08-23,2,27920.393333333333
119,2019-08-24,2,24236.866666666665
120,2019-08-25,2,13934.593333333334
121,2019-08-26,2,24223.933333333334
122,2019-08-27,2,22134.793333333335
123,2019-08-28,2,18488.140000000003
124,2019-08-29,2,11038.413333333334
125,2019-08-30,2,8369.24
126,2019-08-31,2,1258.7599999999998
127,2019-09-01,2,5642.52
128,2019-09-02,2,6208.986666666667
129,2019-09-03,2,5567.286666666667
130,2019-09-04,2,5337.7733333333335
131,2019-09-05,2,4510.36
132,2019-09-06,2,4099.7266666666665
133,2019-09-07,2,3954.8533333333326
134,2019-09-08,2,3710.7266666666665
135,2019-09-09,2,4540.5
136,2019-09-10,2,5548.893333333334
137,2019-09-11,2,20405.766666666666
138,2019-09-12,2,26218.286666666667
139,2019-09-13,2,28526.653333333335
140,2019-09-14,2,27676.046666666673
141,2019-09-15,2,14008.046666666667
142,2019-09-16,2,29808.686666666665
143,2019-09-17,2,31056.120000000003
144,2019-09-18,2,31223.153333333335
145,2019-09-19,2,30852.853333333336
146,2019-09-20,2,30112.88666666667
147,2019-09-21,2,27796.31333333333
148,2019-09-22,2,14519.246666666664
149,2019-09-23,2,28328.08
150,2019-09-24,2,26557.833333333332
151,2019-09-25,2,26841.420000000002
152,2019-09-26,2,25753.646666666667
153,2019-09-27,2,22697.9
154,2019-09-28,2,17284.54
155,2019-09-29,2,9280.579999999998
156,2019-09-30,2,2154.16
157,2019-10-01,2,6391.899999999999
158,2019-10-02,2,6175.766666666667
159,2019-10-03,2,5503.173333333333
160,2019-10-04,2,5302.500000000001
161,2019-10-05,2,4406.433333333333
162,2019-10-06,2,3521.906666666667
163,2019-10-07,2,3867.4266666666667
164,2019-10-08,2,4057.3666666666672
165,2019-10-09,2,4598.993333333333
166,2019-10-10,2,5596.306666666667
167,2019-10-11,2,22382.013333333332
168,2019-10-12,2,26528.326666666668
169,2019-10-13,2,14237.0
170,2019-10-14,2,27834.039999999994
171,2019-10-15,2,28602.646666666664
172,2019-10-16,2,27084.08666666667
173,2019-10-17,2,22571.919999999995
174,2019-10-18,2,18264.713333333333
175,2019-10-19,2,15225.69333333333
176,2019-10-20,2,16146.993333333334
177,2019-10-21,2,23640.099999999995
178,2019-10-22,2,26812.14
179,2019-10-23,2,28211.24
180,2019-10-24,2,28125.320000000003
