,application_date,segment,case_count,day
538,2018-10-11,1,260.0,3
539,2018-10-12,1,289.0,4
540,2018-10-13,1,291.0,5
541,2018-10-14,1,468.0,6
542,2018-10-15,1,463.0,0
543,2018-10-16,1,346.0,1
544,2018-10-17,1,151.0,2
545,2018-10-18,1,68.0,3
546,2018-10-19,1,28.0,4
547,2018-10-20,1,145.0,5
548,2018-10-21,1,137.0,6
549,2018-10-22,1,237.0,0
550,2018-10-23,1,230.0,1
551,2018-10-24,1,241.0,2
552,2018-10-25,1,183.0,3
553,2018-10-26,1,178.0,4
554,2018-10-27,1,190.0,5
555,2018-10-28,1,167.0,6
556,2018-10-29,1,197.0,0
557,2018-10-30,1,156.0,1
558,2018-10-31,1,621.0,2
559,2018-11-01,1,2.0,3
560,2018-11-02,1,0.0,4
561,2018-11-03,1,227.0,5
562,2018-11-04,1,317.0,6
563,2018-11-05,1,383.0,0
564,2018-11-06,1,288.0,1
565,2018-11-07,1,170.0,2
566,2018-11-08,1,214.0,3
567,2018-11-09,1,96.0,4
568,2018-11-10,1,216.0,5
569,2018-11-11,1,143.0,6
570,2018-11-12,1,194.0,0
571,2018-11-13,1,185.0,1
572,2018-11-14,1,150.0,2
573,2018-11-15,1,121.0,3
574,2018-11-16,1,155.0,4
575,2018-11-17,1,135.0,5
576,2018-11-18,1,108.0,6
577,2018-11-19,1,174.0,0
578,2018-11-20,1,148.0,1
579,2018-11-21,1,155.0,2
580,2018-11-22,1,122.0,3
581,2018-11-23,1,136.0,4
582,2018-11-24,1,119.0,5
583,2018-11-25,1,112.0,6
584,2018-11-26,1,143.0,0
585,2018-11-27,1,140.0,1
586,2018-11-28,1,149.0,2
587,2018-11-29,1,113.0,3
588,2018-11-30,1,247.0,4
589,2018-12-01,1,48.0,5
590,2018-12-02,1,61.0,6
591,2018-12-03,1,155.0,0
592,2018-12-04,1,131.0,1
593,2018-12-05,1,161.0,2
594,2018-12-06,1,115.0,3
595,2018-12-07,1,130.0,4
596,2018-12-08,1,114.0,5
597,2018-12-09,1,127.0,6
598,2018-12-10,1,186.0,0
599,2018-12-11,1,151.0,1
600,2018-12-12,1,148.0,2
601,2018-12-13,1,124.0,3
602,2018-12-14,1,176.0,4
603,2018-12-15,1,100.0,5
604,2018-12-16,1,98.0,6
605,2018-12-17,1,148.0,0
606,2018-12-18,1,103.0,1
607,2018-12-19,1,113.0,2
608,2018-12-20,1,104.0,3
609,2018-12-21,1,134.0,4
610,2018-12-22,1,109.0,5
611,2018-12-23,1,84.0,6
612,2018-12-24,1,157.0,0
613,2018-12-25,1,122.0,1
614,2018-12-26,1,134.0,2
615,2018-12-27,1,111.0,3
616,2018-12-28,1,149.0,4
617,2018-12-29,1,123.0,5
618,2018-12-30,1,116.0,6
619,2018-12-31,1,257.0,0
620,2019-01-01,1,0.0,1
621,2019-01-02,1,153.0,2
622,2019-01-03,1,110.0,3
623,2019-01-04,1,129.0,4
624,2019-01-05,1,115.0,5
625,2019-01-06,1,89.0,6
626,2019-01-07,1,151.0,0
627,2019-01-08,1,146.0,1
628,2019-01-09,1,147.0,2
629,2019-01-10,1,115.0,3
630,2019-01-11,1,152.0,4
631,2019-01-12,1,137.0,5
632,2019-01-13,1,123.0,6
633,2019-01-14,1,155.0,0
634,2019-01-15,1,164.0,1
635,2019-01-16,1,173.0,2
636,2019-01-17,1,145.0,3
637,2019-01-18,1,169.0,4
638,2019-01-19,1,142.0,5
639,2019-01-20,1,130.0,6
640,2019-01-21,1,173.0,0
641,2019-01-22,1,141.0,1
642,2019-01-23,1,186.0,2
643,2019-01-24,1,121.0,3
644,2019-01-25,1,145.0,4
645,2019-01-26,1,81.0,5
646,2019-01-27,1,108.0,6
647,2019-01-28,1,174.0,0
648,2019-01-29,1,146.0,1
649,2019-01-30,1,145.0,2
650,2019-01-31,1,255.0,3
651,2019-02-01,1,1.0,4
652,2019-02-02,1,126.0,5
653,2019-02-03,1,134.0,6
654,2019-02-04,1,190.0,0
655,2019-02-05,1,173.0,1
656,2019-02-06,1,165.0,2
657,2019-02-07,1,164.0,3
658,2019-02-08,1,372.0,4
659,2019-02-09,1,0.0,5
660,2019-02-10,1,111.0,6
661,2019-02-11,1,206.0,0
662,2019-02-12,1,149.0,1
663,2019-02-13,1,152.0,2
664,2019-02-14,1,133.0,3
665,2019-02-15,1,177.0,4
666,2019-02-16,1,155.0,5
667,2019-02-17,1,123.0,6
668,2019-02-18,1,184.0,0
669,2019-02-19,1,172.0,1
670,2019-02-20,1,172.0,2
671,2019-02-21,1,150.0,3
672,2019-02-22,1,130.0,4
673,2019-02-23,1,81.0,5
674,2019-02-24,1,149.0,6
675,2019-02-25,1,150.0,0
676,2019-02-26,1,98.0,1
677,2019-02-27,1,104.0,2
678,2019-02-28,1,220.0,3
679,2019-03-01,1,143.0,4
680,2019-03-02,1,11.0,5
681,2019-03-03,1,128.0,6
682,2019-03-04,1,207.0,0
683,2019-03-05,1,147.0,1
684,2019-03-06,1,140.0,2
685,2019-03-07,1,124.0,3
686,2019-03-08,1,156.0,4
687,2019-03-09,1,139.0,5
688,2019-03-10,1,134.0,6
689,2019-03-11,1,183.0,0
690,2019-03-12,1,162.0,1
691,2019-03-13,1,178.0,2
692,2019-03-14,1,128.0,3
693,2019-03-15,1,165.0,4
694,2019-03-16,1,129.0,5
695,2019-03-17,1,161.0,6
696,2019-03-18,1,194.0,0
697,2019-03-19,1,173.0,1
698,2019-03-20,1,205.0,2
699,2019-03-21,1,9.0,3
700,2019-03-22,1,153.0,4
701,2019-03-23,1,192.0,5
702,2019-03-24,1,116.0,6
703,2019-03-25,1,202.0,0
704,2019-03-26,1,211.0,1
705,2019-03-27,1,188.0,2
706,2019-03-28,1,159.0,3
707,2019-03-29,1,165.0,4
708,2019-03-30,1,143.0,5
709,2019-03-31,1,294.0,6
710,2019-04-01,1,0.0,0
711,2019-04-02,1,136.0,1
712,2019-04-03,1,156.0,2
713,2019-04-04,1,149.0,3
714,2019-04-05,1,149.0,4
715,2019-04-06,1,169.0,5
716,2019-04-07,1,158.0,6
717,2019-04-08,1,230.0,0
718,2019-04-09,1,157.0,1
719,2019-04-10,1,161.0,2
720,2019-04-11,1,125.0,3
721,2019-04-12,1,162.0,4
722,2019-04-13,1,145.0,5
723,2019-04-14,1,137.0,6
724,2019-04-15,1,266.0,0
725,2019-04-16,1,149.0,1
726,2019-04-17,1,169.0,2
727,2019-04-18,1,146.0,3
728,2019-04-19,1,163.0,4
729,2019-04-20,1,118.0,5
730,2019-04-21,1,122.0,6
731,2019-04-22,1,163.0,0
732,2019-04-23,1,180.0,1
733,2019-04-24,1,148.0,2
734,2019-04-25,1,132.0,3
735,2019-04-26,1,141.0,4
736,2019-04-27,1,133.0,5
737,2019-04-28,1,82.0,6
738,2019-04-29,1,184.0,0
739,2019-04-30,1,122.0,1
740,2019-05-01,1,119.0,2
741,2019-05-02,1,157.0,3
742,2019-05-03,1,64.0,4
743,2019-05-04,1,138.0,5
744,2019-05-05,1,124.0,6
745,2019-05-06,1,114.0,0
746,2019-05-07,1,198.0,1
747,2019-05-08,1,177.0,2
748,2019-05-09,1,152.0,3
749,2019-05-10,1,167.0,4
750,2019-05-11,1,164.0,5
751,2019-05-12,1,136.0,6
752,2019-05-13,1,192.0,0
753,2019-05-14,1,178.0,1
754,2019-05-15,1,184.0,2
755,2019-05-16,1,149.0,3
756,2019-05-17,1,152.0,4
757,2019-05-18,1,126.0,5
758,2019-05-19,1,96.0,6
759,2019-05-20,1,232.0,0
760,2019-05-21,1,176.0,1
761,2019-05-22,1,207.0,2
762,2019-05-23,1,121.0,3
763,2019-05-24,1,206.0,4
764,2019-05-25,1,147.0,5
765,2019-05-26,1,183.0,6
766,2019-05-27,1,232.0,0
767,2019-05-28,1,219.0,1
768,2019-05-29,1,258.0,2
769,2019-05-30,1,219.0,3
770,2019-05-31,1,234.0,4
771,2019-06-01,1,275.0,5
772,2019-06-02,1,288.0,6
773,2019-06-03,1,416.0,0
774,2019-06-04,1,559.0,1
775,2019-06-05,1,202.0,2
776,2019-06-06,1,184.0,3
777,2019-06-07,1,222.0,4
778,2019-06-08,1,151.0,5
779,2019-06-09,1,138.0,6
780,2019-06-10,1,189.0,0
781,2019-06-11,1,205.0,1
782,2019-06-12,1,187.0,2
783,2019-06-13,1,149.0,3
784,2019-06-14,1,177.0,4
785,2019-06-15,1,166.0,5
786,2019-06-16,1,111.0,6
787,2019-06-17,1,200.0,0
788,2019-06-18,1,152.0,1
789,2019-06-19,1,188.0,2
790,2019-06-20,1,151.0,3
791,2019-06-21,1,168.0,4
792,2019-06-22,1,143.0,5
793,2019-06-23,1,157.0,6
794,2019-06-24,1,170.0,0
795,2019-06-25,1,160.0,1
796,2019-06-26,1,188.0,2
797,2019-06-27,1,140.0,3
798,2019-06-28,1,158.0,4
799,2019-06-29,1,137.0,5
800,2019-06-30,1,125.0,6
801,2019-07-01,1,169.0,0
802,2019-07-02,1,139.0,1
803,2019-07-03,1,165.0,2
804,2019-07-04,1,169.0,3
805,2019-07-05,1,0.0,4
806,2017-04-01,1,58.0,5
807,2017-04-03,1,13.0,0
808,2017-04-04,1,6.0,1
809,2017-04-05,1,74.0,2
810,2017-04-07,1,74.0,4
811,2017-04-12,1,57.0,2
812,2017-04-13,1,56.0,3
813,2017-04-14,1,74.0,4
814,2017-04-15,1,17.0,5
815,2017-04-16,1,84.0,6
816,2017-04-17,1,61.0,0
817,2017-04-18,1,48.0,1
818,2017-04-19,1,63.0,2
819,2017-04-20,1,69.0,3
820,2017-04-21,1,71.0,4
