application_date,case_count,day,segment,y,m,d
2017-07-24,1774.0,0,1,2017,07,24
2017-07-24,9565.0,0,2,2017,07,24
2017-07-25,1540.0,1,1,2017,07,25
2017-07-25,9210.0,1,2,2017,07,25
2017-07-26,1586.0,2,1,2017,07,26
2017-07-26,8593.0,2,2,2017,07,26
2017-07-27,1502.0,3,1,2017,07,27
2017-07-27,6654.0,3,2,2017,07,27
2017-07-28,1710.0,4,1,2017,07,28
2017-07-28,2203.0,4,2,2017,07,28
2017-07-29,1375.0,5,1,2017,07,29
2017-07-29,1251.0,5,2,2017,07,29
2017-07-30,681.0,6,1,2017,07,30
2017-07-30,798.0,6,2,2017,07,30
2017-07-31,11594.0,0,1,2017,07,31
2017-07-31,1887.0,0,2,2017,07,31
2017-08-01,921.0,1,1,2017,08,01
2017-08-01,4455.0,1,2,2017,08,01
2017-08-02,5794.0,2,2,2017,08,02
2017-08-03,2.0,3,1,2017,08,03
2017-08-03,5792.0,3,2,2017,08,03
2017-08-04,1.0,4,1,2017,08,04
2017-08-04,5173.0,4,2,2017,08,04
2017-08-05,4.0,5,1,2017,08,05
2017-08-05,5289.0,5,2,2017,08,05
2017-08-06,3.0,6,1,2017,08,06
2017-08-06,4052.0,6,2,2017,08,06
2017-08-07,1893.0,0,1,2017,08,07
2017-08-07,4551.0,0,2,2017,08,07
2017-08-08,1850.0,1,1,2017,08,08
2017-08-08,5451.0,1,2,2017,08,08
2017-08-09,2010.0,2,1,2017,08,09
2017-08-09,6984.0,2,2,2017,08,09
2017-08-10,2037.0,3,1,2017,08,10
2017-08-10,7667.0,3,2,2017,08,10
2017-08-11,1934.0,4,1,2017,08,11
2017-08-11,13612.0,4,2,2017,08,11
2017-08-12,1838.0,5,1,2017,08,12
2017-08-12,17690.0,5,2,2017,08,12
2017-08-13,965.0,6,1,2017,08,13
2017-08-13,11725.0,6,2,2017,08,13
2017-08-14,2888.0,0,1,2017,08,14
2017-08-14,18639.0,0,2,2017,08,14
2017-08-15,1229.0,1,1,2017,08,15
2017-08-15,17082.0,1,2,2017,08,15
2017-08-16,2269.0,2,1,2017,08,16
2017-08-16,20262.0,2,2,2017,08,16
2017-08-17,2012.0,3,1,2017,08,17
2017-08-17,21928.0,3,2,2017,08,17
2017-08-18,2141.0,4,1,2017,08,18
2017-08-18,21309.0,4,2,2017,08,18
2017-08-19,1723.0,5,1,2017,08,19
2017-08-19,20726.0,5,2,2017,08,19
2017-08-20,813.0,6,1,2017,08,20
2017-08-20,15069.0,6,2,2017,08,20
2017-08-21,2344.0,0,1,2017,08,21
2017-08-21,17871.0,0,2,2017,08,21
2017-08-22,2063.0,1,1,2017,08,22
2017-08-22,19539.0,1,2,2017,08,22
2017-08-23,2504.0,2,1,2017,08,23
2017-08-23,17197.0,2,2,2017,08,23
2017-08-24,2693.0,3,1,2017,08,24
2017-08-24,13876.0,3,2,2017,08,24
2017-08-25,2358.0,4,1,2017,08,25
2017-08-25,10181.0,4,2,2017,08,25
2017-08-26,1589.0,5,1,2017,08,26
2017-08-26,9340.0,5,2,2017,08,26
2017-08-27,839.0,6,1,2017,08,27
2017-08-27,6762.0,6,2,2017,08,27
2017-08-28,2301.0,0,1,2017,08,28
2017-08-28,4695.0,0,2,2017,08,28
2017-08-29,1906.0,1,1,2017,08,29
2017-08-29,2335.0,1,2,2017,08,29
2017-08-30,2065.0,2,1,2017,08,30
2017-08-30,1555.0,2,2,2017,08,30
2017-08-31,13590.0,3,1,2017,08,31
2017-08-31,2237.0,3,2,2017,08,31
2017-09-01,4372.0,4,2,2017,09,01
2017-09-02,6249.0,5,2,2017,09,02
2017-09-03,4469.0,6,2,2017,09,03
2017-09-04,6.0,0,1,2017,09,04
2017-09-04,5641.0,0,2,2017,09,04
2017-09-05,1101.0,1,1,2017,09,05
2017-09-05,6377.0,1,2,2017,09,05
2017-09-06,6894.0,2,2,2017,09,06
2017-09-07,805.0,3,1,2017,09,07
2017-09-07,8062.0,3,2,2017,09,07
2017-09-08,2073.0,4,1,2017,09,08
2017-09-08,7799.0,4,2,2017,09,08
2017-09-09,1746.0,5,1,2017,09,09
2017-09-09,8598.0,5,2,2017,09,09
2017-09-10,932.0,6,1,2017,09,10
2017-09-10,6695.0,6,2,2017,09,10
2017-09-11,2378.0,0,1,2017,09,11
2017-09-11,14050.0,0,2,2017,09,11
2017-09-12,2378.0,1,1,2017,09,12
2017-09-12,21192.0,1,2,2017,09,12
2017-09-13,2551.0,2,1,2017,09,13
2017-09-13,23051.0,2,2,2017,09,13
2017-09-14,2539.0,3,1,2017,09,14
2017-09-14,24867.0,3,2,2017,09,14
2017-09-15,2836.0,4,1,2017,09,15
2017-09-15,23169.0,4,2,2017,09,15
2017-09-16,2693.0,5,1,2017,09,16
2017-09-16,22296.0,5,2,2017,09,16
2017-09-17,1376.0,6,1,2017,09,17
2017-09-17,16429.0,6,2,2017,09,17
2017-09-18,3114.0,0,1,2017,09,18
2017-09-18,20130.0,0,2,2017,09,18
2017-09-19,3080.0,1,1,2017,09,19
2017-09-19,15067.0,1,2,2017,09,19
2017-09-20,3541.0,2,1,2017,09,20
2017-09-20,23379.0,2,2,2017,09,20
2017-09-21,4436.0,3,1,2017,09,21
2017-09-21,20323.0,3,2,2017,09,21
2017-09-22,4330.0,4,1,2017,09,22
2017-09-22,16893.0,4,2,2017,09,22
2017-09-23,3701.0,5,1,2017,09,23
2017-09-23,12440.0,5,2,2017,09,23
2017-09-24,3508.0,6,1,2017,09,24
2017-09-24,9308.0,6,2,2017,09,24
2017-09-25,5201.0,0,1,2017,09,25
2017-09-25,8926.0,0,2,2017,09,25
2017-09-26,5188.0,1,1,2017,09,26
2017-09-26,7662.0,1,2,2017,09,26
2017-09-27,5378.0,2,1,2017,09,27
2017-09-27,5690.0,2,2,2017,09,27
2017-09-28,4584.0,3,1,2017,09,28
2017-09-28,3268.0,3,2,2017,09,28
2017-09-29,4464.0,4,1,2017,09,29
2017-09-29,889.0,4,2,2017,09,29
2017-09-30,21631.0,5,1,2017,09,30
2017-09-30,439.0,5,2,2017,09,30
2017-10-01,1280.0,6,1,2017,10,01
2017-10-01,973.0,6,2,2017,10,01
2017-10-02,226.0,0,1,2017,10,02
2017-10-02,2341.0,0,2,2017,10,02
2017-10-03,172.0,1,1,2017,10,03
2017-10-03,4627.0,1,2,2017,10,03
2017-10-04,209.0,2,1,2017,10,04
2017-10-04,5338.0,2,2,2017,10,04
2017-10-05,352.0,3,1,2017,10,05
2017-10-05,6885.0,3,2,2017,10,05
2017-10-06,361.0,4,1,2017,10,06
2017-10-06,7567.0,4,2,2017,10,06
2017-10-07,274.0,5,1,2017,10,07
2017-10-07,7786.0,5,2,2017,10,07
2017-10-08,573.0,6,1,2017,10,08
2017-10-08,6932.0,6,2,2017,10,08
2017-10-09,1688.0,0,1,2017,10,09
2017-10-09,8299.0,0,2,2017,10,09
2017-10-10,1839.0,1,1,2017,10,10
2017-10-10,11235.0,1,2,2017,10,10
2017-10-11,3701.0,2,1,2017,10,11
2017-10-11,18217.0,2,2,2017,10,11
2017-10-12,4017.0,3,1,2017,10,12
2017-10-12,23977.0,3,2,2017,10,12
2017-10-13,4355.0,4,1,2017,10,13
2017-10-13,26211.0,4,2,2017,10,13
2017-10-14,4048.0,5,1,2017,10,14
2017-10-14,24403.0,5,2,2017,10,14
2017-10-15,3928.0,6,1,2017,10,15
2017-10-15,17067.0,6,2,2017,10,15
2017-10-16,6696.0,0,1,2017,10,16
2017-10-16,19907.0,0,2,2017,10,16
2017-10-17,7223.0,1,1,2017,10,17
2017-10-17,18168.0,1,2,2017,10,17
2017-10-18,6344.0,2,1,2017,10,18
2017-10-18,14006.0,2,2,2017,10,18
2017-10-19,4650.0,3,1,2017,10,19
2017-10-19,12688.0,3,2,2017,10,19
2017-10-20,2423.0,4,1,2017,10,20
2017-10-20,15696.0,4,2,2017,10,20
2017-10-21,1718.0,5,1,2017,10,21
2017-10-21,16584.0,5,2,2017,10,21
2017-10-22,1002.0,6,1,2017,10,22
2017-10-22,13993.0,6,2,2017,10,22
2017-10-23,2570.0,0,1,2017,10,23
2017-10-23,17483.0,0,2,2017,10,23
2017-10-24,2272.0,1,1,2017,10,24
2017-10-24,19773.0,1,2,2017,10,24
2017-10-25,2968.0,2,1,2017,10,25
2017-10-25,17149.0,2,2,2017,10,25
2017-10-26,2533.0,3,1,2017,10,26
2017-10-26,16545.0,3,2,2017,10,26
2017-10-27,2556.0,4,1,2017,10,27
2017-10-27,14385.0,4,2,2017,10,27
2017-10-28,2062.0,5,1,2017,10,28
2017-10-28,8564.0,5,2,2017,10,28
2017-10-29,883.0,6,1,2017,10,29
2017-10-29,3314.0,6,2,2017,10,29
2017-10-30,2810.0,0,1,2017,10,30
2017-10-30,1024.0,0,2,2017,10,30
2017-10-31,15429.0,1,1,2017,10,31
2017-10-31,1015.0,1,2,2017,10,31
2017-11-01,583.0,2,1,2017,11,01
2017-11-01,3841.0,2,2,2017,11,01
2017-11-02,29.0,3,1,2017,11,02
2017-11-02,4069.0,3,2,2017,11,02
2017-11-03,65.0,4,1,2017,11,03
2017-11-03,6458.0,4,2,2017,11,03
2017-11-04,40.0,5,1,2017,11,04
2017-11-04,6454.0,5,2,2017,11,04
2017-11-05,6.0,6,1,2017,11,05
2017-11-05,4174.0,6,2,2017,11,05
2017-11-06,60.0,0,1,2017,11,06
2017-11-06,6474.0,0,2,2017,11,06
2017-11-07,251.0,1,1,2017,11,07
2017-11-07,7488.0,1,2,2017,11,07
2017-11-08,1556.0,2,1,2017,11,08
2017-11-08,8606.0,2,2,2017,11,08
2017-11-09,1872.0,3,1,2017,11,09
2017-11-09,9825.0,3,2,2017,11,09
2017-11-10,1998.0,4,1,2017,11,10
2017-11-10,9843.0,4,2,2017,11,10
2017-11-11,1532.0,5,1,2017,11,11
2017-11-11,17385.0,5,2,2017,11,11
2017-11-12,636.0,6,1,2017,11,12
2017-11-12,14594.0,6,2,2017,11,12
2017-11-13,2242.0,0,1,2017,11,13
2017-11-13,21311.0,0,2,2017,11,13
2017-11-14,1988.0,1,1,2017,11,14
2017-11-14,27580.0,1,2,2017,11,14
2017-11-15,1907.0,2,1,2017,11,15
2017-11-15,28872.0,2,2,2017,11,15
2017-11-16,1838.0,3,1,2017,11,16
2017-11-16,28331.0,3,2,2017,11,16
2017-11-17,1801.0,4,1,2017,11,17
2017-11-17,25391.0,4,2,2017,11,17
2017-11-18,1537.0,5,1,2017,11,18
2017-11-18,23316.0,5,2,2017,11,18
2017-11-19,2846.0,6,1,2017,11,19
2017-11-19,17062.0,6,2,2017,11,19
2017-11-20,56.0,0,1,2017,11,20
2017-11-20,21964.0,0,2,2017,11,20
2017-11-21,1934.0,1,1,2017,11,21
2017-11-21,23594.0,1,2,2017,11,21
2017-11-22,1904.0,2,1,2017,11,22
2017-11-22,22100.0,2,2,2017,11,22
2017-11-23,1914.0,3,1,2017,11,23
2017-11-23,20300.0,3,2,2017,11,23
2017-11-24,1980.0,4,1,2017,11,24
2017-11-24,17048.0,4,2,2017,11,24
2017-11-25,1471.0,5,1,2017,11,25
2017-11-25,14954.0,5,2,2017,11,25
2017-11-26,572.0,6,1,2017,11,26
2017-11-26,9893.0,6,2,2017,11,26
2017-11-27,2104.0,0,1,2017,11,27
2017-11-27,11163.0,0,2,2017,11,27
2017-11-28,1827.0,1,1,2017,11,28
2017-11-28,5170.0,1,2,2017,11,28
2017-11-29,1938.0,2,1,2017,11,29
2017-11-29,1540.0,2,2,2017,11,29
2017-11-30,5966.0,3,1,2017,11,30
2017-11-30,1289.0,3,2,2017,11,30
2017-12-01,56.0,4,1,2017,12,01
2017-12-01,3120.0,4,2,2017,12,01
2017-12-02,44.0,5,1,2017,12,02
2017-12-02,5010.0,5,2,2017,12,02
2017-12-03,292.0,6,1,2017,12,03
2017-12-03,3426.0,6,2,2017,12,03
2017-12-04,1610.0,0,1,2017,12,04
2017-12-04,5909.0,0,2,2017,12,04
2017-12-05,1650.0,1,1,2017,12,05
2017-12-05,6052.0,1,2,2017,12,05
2017-12-06,1904.0,2,1,2017,12,06
2017-12-06,7124.0,2,2,2017,12,06
2017-12-07,1875.0,3,1,2017,12,07
2017-12-07,8026.0,3,2,2017,12,07
2017-12-08,1861.0,4,1,2017,12,08
2017-12-08,7534.0,4,2,2017,12,08
2017-12-09,1485.0,5,1,2017,12,09
2017-12-09,8758.0,5,2,2017,12,09
2017-12-10,621.0,6,1,2017,12,10
2017-12-10,6100.0,6,2,2017,12,10
2017-12-11,2319.0,0,1,2017,12,11
2017-12-11,15291.0,0,2,2017,12,11
2017-12-12,2237.0,1,1,2017,12,12
2017-12-12,22734.0,1,2,2017,12,12
2017-12-13,2320.0,2,1,2017,12,13
2017-12-13,25417.0,2,2,2017,12,13
2017-12-14,2260.0,3,1,2017,12,14
2017-12-14,24401.0,3,2,2017,12,14
2017-12-15,2326.0,4,1,2017,12,15
2017-12-15,26953.0,4,2,2017,12,15
2017-12-16,1796.0,5,1,2017,12,16
2017-12-16,24836.0,5,2,2017,12,16
2017-12-17,767.0,6,1,2017,12,17
2017-12-17,16655.0,6,2,2017,12,17
2017-12-18,2393.0,0,1,2017,12,18
2017-12-18,24011.0,0,2,2017,12,18
2017-12-19,2180.0,1,1,2017,12,19
2017-12-19,27077.0,1,2,2017,12,19
2017-12-20,2454.0,2,1,2017,12,20
2017-12-20,27934.0,2,2,2017,12,20
2017-12-21,1886.0,3,1,2017,12,21
2017-12-21,26353.0,3,2,2017,12,21
2017-12-22,1921.0,4,1,2017,12,22
2017-12-22,22072.0,4,2,2017,12,22
2017-12-23,1981.0,5,1,2017,12,23
2017-12-23,20863.0,5,2,2017,12,23
2017-12-24,757.0,6,1,2017,12,24
2017-12-24,13367.0,6,2,2017,12,24
2017-12-25,2169.0,0,1,2017,12,25
2017-12-25,12427.0,0,2,2017,12,25
2017-12-26,2251.0,1,1,2017,12,26
2017-12-26,13929.0,1,2,2017,12,26
2017-12-27,2374.0,2,1,2017,12,27
2017-12-27,12936.0,2,2,2017,12,27
2017-12-28,2555.0,3,1,2017,12,28
2017-12-28,11402.0,3,2,2017,12,28
2017-12-29,2913.0,4,1,2017,12,29
2017-12-29,8527.0,4,2,2017,12,29
2017-12-30,2736.0,5,1,2017,12,30
2017-12-30,4824.0,5,2,2017,12,30
2017-12-31,14106.0,6,1,2017,12,31
2017-12-31,791.0,6,2,2017,12,31
2018-01-01,1391.0,0,1,2018,01,01
2018-01-01,2110.0,0,2,2018,01,01
2018-01-02,84.0,1,1,2018,01,02
2018-01-02,6491.0,1,2,2018,01,02
2018-01-03,45.0,2,1,2018,01,03
2018-01-03,9691.0,2,2,2018,01,03
2018-01-04,76.0,3,1,2018,01,04
2018-01-04,10467.0,3,2,2018,01,04
2018-01-05,1789.0,4,1,2018,01,05
2018-01-05,10449.0,4,2,2018,01,05
2018-01-06,1372.0,5,1,2018,01,06
2018-01-06,10382.0,5,2,2018,01,06
2018-01-07,7813.0,6,2,2018,01,07
2018-01-08,81.0,0,1,2018,01,08
2018-01-08,10306.0,0,2,2018,01,08
2018-01-09,2619.0,1,1,2018,01,09
2018-01-09,10859.0,1,2,2018,01,09
2018-01-10,2497.0,2,1,2018,01,10
2018-01-10,13309.0,2,2,2018,01,10
2018-01-11,2522.0,3,1,2018,01,11
2018-01-11,21872.0,3,2,2018,01,11
2018-01-12,2757.0,4,1,2018,01,12
2018-01-12,26325.0,4,2,2018,01,12
2018-01-13,2306.0,5,1,2018,01,13
2018-01-13,23737.0,5,2,2018,01,13
2018-01-14,1167.0,6,1,2018,01,14
2018-01-14,11974.0,6,2,2018,01,14
2018-01-15,2420.0,0,1,2018,01,15
2018-01-15,14284.0,0,2,2018,01,15
2018-01-16,2625.0,1,1,2018,01,16
2018-01-16,21445.0,1,2,2018,01,16
2018-01-17,2854.0,2,1,2018,01,17
2018-01-17,27351.0,2,2,2018,01,17
2018-01-18,2947.0,3,1,2018,01,18
2018-01-18,28950.0,3,2,2018,01,18
2018-01-19,2859.0,4,1,2018,01,19
2018-01-19,27414.0,4,2,2018,01,19
2018-01-20,2218.0,5,1,2018,01,20
2018-01-20,25522.0,5,2,2018,01,20
2018-01-21,1108.0,6,1,2018,01,21
2018-01-21,17975.0,6,2,2018,01,21
2018-01-22,3198.0,0,1,2018,01,22
2018-01-22,20582.0,0,2,2018,01,22
2018-01-23,2519.0,1,1,2018,01,23
2018-01-23,25271.0,1,2,2018,01,23
2018-01-24,2574.0,2,1,2018,01,24
2018-01-24,21599.0,2,2,2018,01,24
2018-01-25,2126.0,3,1,2018,01,25
2018-01-25,21689.0,3,2,2018,01,25
2018-01-26,1454.0,4,1,2018,01,26
2018-01-26,17813.0,4,2,2018,01,26
2018-01-27,2127.0,5,1,2018,01,27
2018-01-27,14454.0,5,2,2018,01,27
2018-01-28,911.0,6,1,2018,01,28
2018-01-28,7434.0,6,2,2018,01,28
2018-01-29,2821.0,0,1,2018,01,29
2018-01-29,10408.0,0,2,2018,01,29
2018-01-30,2479.0,1,1,2018,01,30
2018-01-30,3919.0,1,2,2018,01,30
2018-01-31,9628.0,2,1,2018,01,31
2018-01-31,1302.0,2,2,2018,01,31
2018-02-01,472.0,3,1,2018,02,01
2018-02-01,2760.0,3,2,2018,02,01
2018-02-02,66.0,4,1,2018,02,02
2018-02-02,9679.0,4,2,2018,02,02
2018-02-03,52.0,5,1,2018,02,03
2018-02-03,8998.0,5,2,2018,02,03
2018-02-04,6654.0,6,2,2018,02,04
2018-02-05,2654.0,0,1,2018,02,05
2018-02-05,8144.0,0,2,2018,02,05
2018-02-06,2419.0,1,1,2018,02,06
2018-02-06,9611.0,1,2,2018,02,06
2018-02-07,2439.0,2,1,2018,02,07
2018-02-07,9991.0,2,2,2018,02,07
2018-02-08,2369.0,3,1,2018,02,08
2018-02-08,9954.0,3,2,2018,02,08
