application_date,segment,case_count,day
2017-08-10,2,7667.0,6
2017-08-11,1,1934.0,0
2017-08-11,2,13612.0,1
2017-08-12,1,1838.0,2
2017-08-12,2,17690.0,3
2017-08-13,1,965.0,4
2017-08-13,2,11725.0,5
2017-08-14,1,2888.0,6
2017-08-14,2,18639.0,0
2017-08-15,1,1229.0,1
2017-08-15,2,17082.0,2
2017-08-16,1,2269.0,3
2017-08-16,2,20262.0,4
2017-08-17,1,2012.0,5
2017-08-17,2,21928.0,0
2017-08-18,1,2141.0,1
2017-08-18,2,21309.0,2
2017-08-19,1,1723.0,3
2017-08-19,2,20726.0,4
2017-08-20,1,813.0,5
2017-08-20,2,15069.0,6
2017-08-21,1,2344.0,0
2017-08-21,2,17871.0,1
2017-08-22,1,2063.0,2
2017-08-22,2,19539.0,3
2017-08-23,1,2504.0,4
2017-08-23,2,17197.0,5
2017-08-24,1,2693.0,6
2017-08-24,2,13876.0,0
2017-08-25,1,2358.0,1
2017-08-25,2,10181.0,2
2017-08-26,1,1589.0,3
2017-08-26,2,9340.0,4
2017-08-27,1,839.0,5
2017-08-27,2,6762.0,6
2017-08-28,1,2301.0,0
2017-08-28,2,4695.0,1
2017-08-29,1,1906.0,2
2017-08-29,2,2335.0,3
2017-08-30,1,2065.0,4
2017-08-30,2,1555.0,5
2017-08-31,1,13590.0,0
2017-08-31,2,2237.0,1
2017-09-01,2,4372.0,2
2017-09-02,2,6249.0,3
2017-09-03,2,4469.0,4
2017-09-04,1,6.0,5
2017-09-04,2,5641.0,6
2017-09-05,1,1101.0,0
2017-09-05,2,6377.0,1
2017-09-06,2,6894.0,2
2017-09-07,1,805.0,3
2017-09-07,2,8062.0,4
2017-09-08,1,2073.0,5
2017-09-08,2,7799.0,6
2017-09-09,1,1746.0,0
2017-09-09,2,8598.0,1
2017-09-10,1,932.0,2
2017-09-10,2,6695.0,3
2017-09-11,1,2378.0,4
2017-09-11,2,14050.0,5
2017-09-12,1,2378.0,6
2017-09-12,2,21192.0,0
2017-09-13,1,2551.0,1
2017-09-13,2,23051.0,2
2017-09-14,1,2539.0,3
2017-09-14,2,24867.0,5
2017-09-15,1,2836.0,0
2017-09-15,2,23169.0,1
2017-09-16,1,2693.0,2
2017-09-16,2,22296.0,3
2017-09-17,1,1376.0,4
2017-09-17,2,16429.0,5
2017-09-18,1,3114.0,6
2017-09-18,2,20130.0,0
2017-09-19,1,3080.0,1
2017-09-19,2,15067.0,2
2017-09-20,1,3541.0,3
2017-09-20,2,23379.0,4
2017-09-21,1,4436.0,5
2017-09-21,2,20323.0,6
2017-09-22,1,4330.0,0
2017-09-22,2,16893.0,1
2017-09-23,1,3701.0,2
2017-09-23,2,12440.0,3
2017-09-24,1,3508.0,4
2017-09-24,2,9308.0,5
2017-09-25,1,5201.0,6
2017-09-25,2,8926.0,0
2017-09-26,1,5188.0,1
2017-09-26,2,7662.0,2
2017-09-27,1,5378.0,3
2017-09-27,2,5690.0,4
2017-09-28,1,4584.0,5
2017-09-28,2,3268.0,6
2017-09-29,1,4464.0,0
2017-09-29,2,889.0,1
2017-09-30,1,21631.0,2
2017-09-30,2,439.0,3
2017-10-01,1,1280.0,4
2017-10-01,2,973.0,5
2017-10-02,1,226.0,6
2017-10-02,2,2341.0,0
2017-10-03,1,172.0,1
2017-10-03,2,4627.0,2
2017-10-04,1,209.0,3
2017-10-04,2,5338.0,4
2017-10-05,1,352.0,5
2017-10-05,2,6885.0,6
2017-10-06,1,361.0,0
2017-10-06,2,7567.0,1
2017-10-07,1,274.0,2
2017-10-07,2,7786.0,3
2017-10-08,1,573.0,4
2017-10-08,2,6932.0,5
2017-10-09,1,1688.0,6
2017-10-09,2,8299.0,0
2017-10-10,1,1839.0,1
2017-10-10,2,11235.0,2
2017-10-11,1,3701.0,3
2017-10-11,2,18217.0,4
2017-10-12,1,4017.0,5
2017-10-12,2,23977.0,6
2017-10-13,1,4355.0,0
2017-10-13,2,26211.0,1
2017-10-14,1,4048.0,2
2017-10-14,2,24403.0,3
2017-10-15,1,3928.0,4
2017-10-15,2,17067.0,5
2017-10-16,1,6696.0,6
2017-10-16,2,19907.0,0
2017-10-17,1,7223.0,1
2017-10-17,2,18168.0,2
2017-10-18,1,6344.0,3
2017-10-18,2,14006.0,4
2017-10-19,1,4650.0,5
2017-10-19,2,12688.0,6
2017-10-20,1,2423.0,0
2017-10-20,2,15696.0,1
2017-10-21,1,1718.0,2
2017-10-21,2,16584.0,3
2017-10-22,1,1002.0,4
2017-10-22,2,13993.0,5
2017-10-23,1,2570.0,6
2017-10-23,2,17483.0,0
2017-10-24,1,2272.0,1
2017-10-24,2,19773.0,2
2017-10-25,1,2968.0,3
2017-10-25,2,17149.0,4
2017-10-26,1,2533.0,5
2017-10-26,2,16545.0,6
2017-10-27,1,2556.0,0
2017-10-27,2,14385.0,1
2017-10-28,1,2062.0,2
2017-10-28,2,8564.0,3
2017-10-29,1,883.0,4
2017-10-29,2,3314.0,5
2017-10-30,1,2810.0,6
2017-10-30,2,1024.0,0
2017-10-31,1,15429.0,1
2017-10-31,2,1015.0,2
2017-11-01,1,583.0,3
2017-11-01,2,3841.0,4
2017-11-02,1,29.0,5
2017-11-02,2,4069.0,6
2017-11-03,1,65.0,0
2017-11-03,2,6458.0,1
2017-11-04,1,40.0,2
2017-11-04,2,6454.0,3
2017-11-05,1,6.0,4
2017-11-05,2,4174.0,5
2017-11-06,1,60.0,6
2017-11-06,2,6474.0,0
2017-11-07,1,251.0,1
2017-11-07,2,7488.0,2
2017-11-08,1,1556.0,3
2017-11-08,2,8606.0,4
2017-11-09,1,1872.0,5
2017-11-09,2,9825.0,6
2017-11-10,1,1998.0,0
2017-11-10,2,9843.0,1
2017-11-11,1,1532.0,2
2017-11-11,2,17385.0,3
2017-11-12,1,636.0,4
2017-11-12,2,14594.0,5
2017-11-13,1,2242.0,6
2017-11-13,2,21311.0,0
2017-11-14,1,1988.0,1
2017-11-14,2,27580.0,2
2017-11-15,1,1907.0,3
2017-11-15,2,28872.0,4
2017-11-16,1,1838.0,5
2017-11-16,2,28331.0,6
2017-11-17,1,1801.0,0
2017-11-17,2,25391.0,1
2017-11-18,1,1537.0,2
2017-11-18,2,23316.0,3
2017-11-19,1,2846.0,4
2017-11-19,2,17062.0,5
2017-11-20,1,56.0,6
2017-11-20,2,21964.0,0
2017-11-21,1,1934.0,1
2017-11-21,2,23594.0,2
2017-11-22,1,1904.0,3
2017-11-22,2,22100.0,4
2017-11-23,1,1914.0,5
2017-11-23,2,20300.0,6
2017-11-24,1,1980.0,0
2017-11-24,2,17048.0,1
2017-11-25,1,1471.0,2
2017-11-25,2,14954.0,3
2017-11-26,1,572.0,4
2017-11-26,2,9893.0,5
2017-11-27,1,2104.0,6
2017-11-27,2,11163.0,0
2017-11-28,1,1827.0,1
2017-11-28,2,5170.0,2
2017-11-29,1,1938.0,3
2017-11-29,2,1540.0,4
2017-11-30,1,5966.0,5
2017-11-30,2,1289.0,6
2017-12-01,1,56.0,0
2017-12-01,2,3120.0,1
2017-12-02,1,44.0,2
2017-12-02,2,5010.0,3
2017-12-03,1,292.0,4
2017-12-03,2,3426.0,5
2017-12-04,1,1610.0,6
2017-12-04,2,5909.0,0
2017-12-05,1,1650.0,1
2017-12-05,2,6052.0,2
2017-12-06,1,1904.0,3
2017-12-06,2,7124.0,4
2017-12-07,1,1875.0,5
2017-12-07,2,8026.0,6
2017-12-08,1,1861.0,0
2017-12-08,2,7534.0,1
2017-12-09,1,1485.0,2
2017-12-09,2,8758.0,3
2017-12-10,1,621.0,4
2017-12-10,2,6100.0,5
2017-12-11,1,2319.0,6
2017-12-11,2,15291.0,0
2017-12-12,1,2237.0,1
2017-12-12,2,22734.0,2
2017-12-13,1,2320.0,3
2017-12-13,2,25417.0,4
2017-12-14,1,2260.0,5
2017-12-14,2,24401.0,6
2017-12-15,1,2326.0,0
2017-12-15,2,26953.0,1
2017-12-16,1,1796.0,2
2017-12-16,2,24836.0,3
2017-12-17,1,767.0,4
2017-12-17,2,16655.0,5
2017-12-18,1,2393.0,6
2017-12-18,2,24011.0,0
2017-12-19,1,2180.0,1
2017-12-19,2,27077.0,2
2017-12-20,1,2454.0,3
2017-12-20,2,27934.0,4
2017-12-21,1,1886.0,5
2017-12-21,2,26353.0,6
2017-12-22,1,1921.0,0
2017-12-22,2,22072.0,1
2017-12-23,1,1981.0,2
2017-12-23,2,20863.0,3
2017-12-24,1,757.0,4
2017-12-24,2,13367.0,5
2017-12-25,1,2169.0,6
2017-12-25,2,12427.0,0
2017-12-26,1,2251.0,1
2017-12-26,2,13929.0,2
2017-12-27,1,2374.0,3
2017-12-27,2,12936.0,4
2017-12-28,1,2555.0,5
2017-12-28,2,11402.0,6
2017-12-29,1,2913.0,0
2017-12-29,2,8527.0,1
2017-12-30,1,2736.0,2
2017-12-30,2,4824.0,3
2017-12-31,1,14106.0,4
2017-12-31,2,791.0,5
2018-01-01,1,1391.0,6
2018-01-01,2,2110.0,0
2018-01-02,1,84.0,1
2018-01-02,2,6491.0,2
2018-01-03,1,45.0,3
2018-01-03,2,9691.0,4
2018-01-04,1,76.0,5
2018-01-04,2,10467.0,6
2018-01-05,1,1789.0,0
2018-01-05,2,10449.0,1
2018-01-06,1,1372.0,2
2018-01-06,2,10382.0,3
2018-01-07,2,7813.0,4
2018-01-08,1,81.0,5
2018-01-08,2,10306.0,6
2018-01-09,1,2619.0,0
2018-01-09,2,10859.0,1
2018-01-10,1,2497.0,2
2018-01-10,2,13309.0,3
2018-01-11,1,2522.0,4
2018-01-11,2,21872.0,5
2018-01-12,1,2757.0,6
2018-01-12,2,26325.0,0
2018-01-13,1,2306.0,1
2018-01-13,2,23737.0,2
2018-01-14,1,1167.0,3
2018-01-14,2,11974.0,4
2018-01-15,1,2420.0,5
2018-01-15,2,14284.0,6
2018-01-16,1,2625.0,0
2018-01-16,2,21445.0,1
2018-01-17,1,2854.0,2
2018-01-17,2,27351.0,3
2018-01-18,1,2947.0,4
2018-01-18,2,28950.0,5
2018-01-19,1,2859.0,6
2018-01-19,2,27414.0,0
2018-01-20,1,2218.0,1
2018-01-20,2,25522.0,2
2018-01-21,1,1108.0,3
2018-01-21,2,17975.0,4
2018-01-22,1,3198.0,5
2018-01-22,2,20582.0,6
2018-01-23,1,2519.0,0
2018-01-23,2,25271.0,1
2018-01-24,1,2574.0,2
2018-01-24,2,21599.0,3
2018-01-25,1,2126.0,4
2018-01-25,2,21689.0,5
2018-01-26,1,1454.0,6
2018-01-26,2,17813.0,0
2018-01-27,1,2127.0,1
2018-01-27,2,14454.0,2
2018-01-28,1,911.0,3
2018-01-28,2,7434.0,4
2018-01-29,1,2821.0,5
2018-01-29,2,10408.0,6
2018-01-30,1,2479.0,0
2018-01-30,2,3919.0,1
2018-01-31,1,9628.0,2
2018-01-31,2,1302.0,3
2018-02-01,1,472.0,4
2018-02-01,2,2760.0,5
2018-02-02,1,66.0,6
2018-02-02,2,9679.0,0
2018-02-03,1,52.0,1
2018-02-03,2,8998.0,2
2018-02-04,2,6654.0,3
2018-02-05,1,2654.0,4
2018-02-05,2,8144.0,5
2018-02-06,1,2419.0,6
2018-02-06,2,9611.0,0
2018-02-07,1,2439.0,1
2018-02-07,2,9991.0,2
2018-02-08,1,2369.0,3
2018-02-08,2,9954.0,4
2018-02-09,1,2470.0,5
2018-02-09,2,11975.0,6
2018-02-10,1,1974.0,0
2018-02-10,2,12203.0,1
2018-02-11,1,966.0,2
2018-02-11,2,12013.0,3
2018-02-12,1,3413.0,4
2018-02-12,2,22881.0,5
2018-02-13,1,3092.0,6
2018-02-13,2,27636.0,0
2018-02-14,1,2702.0,1
2018-02-14,2,27603.0,2
2018-02-15,1,2354.0,3
2018-02-15,2,26714.0,4
2018-02-16,1,2543.0,5
2018-02-16,2,29129.0,6
2018-02-17,1,2003.0,0
2018-02-17,2,28365.0,1
2018-02-18,1,923.0,2
2018-02-18,2,12071.0,3
2018-02-19,1,2405.0,4
2018-02-19,2,24006.0,5
2018-02-20,1,2488.0,6
2018-02-20,2,32399.0,0
2018-02-21,1,2589.0,1
2018-02-21,2,28719.0,2
2018-02-22,1,2513.0,3
2018-02-22,2,26985.0,4
2018-02-23,1,2415.0,5
2018-02-23,2,23457.0,6
2018-02-24,1,1908.0,0
2018-02-24,2,20055.0,1
2018-02-25,1,963.0,2
2018-02-25,2,13217.0,3
2018-02-26,1,2665.0,4
2018-02-26,2,11843.0,5
2018-02-27,1,2530.0,6
2018-02-27,2,5083.0,0
2018-02-28,1,9134.0,1
2018-02-28,2,206.0,2
2018-03-01,1,88.0,3
2018-03-01,2,2793.0,4
2018-03-02,2,5726.0,5
2018-03-03,1,58.0,6
2018-03-03,2,6613.0,0
2018-03-04,2,5420.0,1
2018-03-05,1,3243.0,2
2018-03-05,2,6885.0,3
2018-03-06,1,2645.0,4
2018-03-06,2,8745.0,5
2018-03-07,1,2821.0,6
2018-03-07,2,10661.0,0
2018-03-08,1,2794.0,1
2018-03-08,2,7692.0,2
2018-03-09,1,2832.0,3
2018-03-09,2,14017.0,4
2018-03-10,1,2348.0,5
2018-03-10,2,15285.0,6
2018-03-11,1,1324.0,0
2018-03-11,2,21050.0,1
2018-03-12,1,3468.0,2
2018-03-12,2,33322.0,3
2018-03-13,1,3023.0,4
2018-03-13,2,29442.0,5
2018-03-14,1,3313.0,6
2018-03-14,2,27574.0,0
2018-03-15,1,3515.0,1
2018-03-15,2,33319.0,2
2018-03-16,1,3888.0,3
2018-03-16,2,31912.0,4
2018-03-17,1,4041.0,5
2018-03-17,2,28397.0,6
2018-03-18,1,3124.0,0
2018-03-18,2,27548.0,1
2018-03-19,1,3576.0,2
2018-03-19,2,23935.0,3
2018-03-20,1,2814.0,4
2018-03-20,2,29543.0,5
2018-03-21,1,3059.0,6
2018-03-21,2,27960.0,0
2018-03-22,1,3143.0,1
2018-03-22,2,28337.0,2
2018-03-23,1,3311.0,3
2018-03-23,2,24437.0,4
2018-03-24,1,2854.0,5
2018-03-24,2,24242.0,6
2018-03-25,1,1655.0,0
2018-03-25,2,17959.0,1
2018-03-26,1,3140.0,2
2018-03-26,2,17734.0,3
2018-03-27,1,2922.0,4
2018-03-27,2,17174.0,5
2018-03-28,1,3128.0,6
2018-03-28,2,13240.0,0
2018-03-29,1,3126.0,1
2018-03-29,2,9144.0,2
2018-03-30,1,3289.0,3
2018-03-30,2,3526.0,4
2018-03-31,1,21885.0,5
2018-03-31,2,706.0,6
2018-04-01,1,2.0,0
2018-04-01,2,1740.0,1
2018-04-02,1,122.0,2
2018-04-02,2,3344.0,3
2018-04-03,1,74.0,4
2018-04-03,2,4162.0,5
2018-04-04,1,59.0,6
2018-04-04,2,4814.0,0
2018-04-05,1,63.0,1
2018-04-05,2,4650.0,2
2018-04-06,1,52.0,3
2018-04-06,2,5735.0,4
2018-04-07,1,19.0,5
2018-04-07,2,5023.0,6
2018-04-08,1,123.0,0
2018-04-08,2,5184.0,1
2018-04-09,1,5891.0,2
2018-04-09,2,6534.0,3
2018-04-10,1,100.0,4
2018-04-10,2,7785.0,5
2018-04-11,1,3493.0,6
2018-04-11,2,18096.0,0
2018-04-12,1,3591.0,1
2018-04-12,2,24573.0,2
2018-04-13,1,3490.0,3
2018-04-13,2,26274.0,4
2018-04-14,1,2665.0,5
2018-04-14,2,22332.0,6
2018-04-15,1,1803.0,0
2018-04-15,2,16569.0,1
2018-04-16,1,3544.0,2
2018-04-16,2,24120.0,3
2018-04-17,1,3756.0,4
2018-04-17,2,27611.0,5
2018-04-18,1,4084.0,6
2018-04-18,2,28778.0,0
2018-04-19,1,2772.0,1
2018-04-19,2,28627.0,2
2018-04-20,1,2515.0,3
2018-04-20,2,28869.0,4
2018-04-21,1,2087.0,5
2018-04-21,2,27836.0,6
2018-04-22,1,1037.0,0
2018-04-22,2,17618.0,1
2018-04-23,1,3019.0,2
2018-04-23,2,24008.0,3
2018-04-24,1,2539.0,4
2018-04-24,2,25721.0,5
2018-04-25,1,2634.0,6
2018-04-25,2,23156.0,0
2018-04-26,1,2582.0,1
2018-04-26,2,21582.0,2
2018-04-27,1,2456.0,3
2018-04-27,2,16727.0,4
2018-04-28,1,2046.0,5
2018-04-28,2,7411.0,6
2018-04-29,1,1158.0,0
2018-04-29,2,1284.0,1
2018-04-30,1,4249.0,2
2018-04-30,2,710.0,3
2018-05-01,1,107.0,4
2018-05-01,2,3712.0,5
2018-05-02,1,2739.0,6
2018-05-02,2,5879.0,0
2018-05-03,1,2528.0,1
2018-05-03,2,7887.0,2
2018-05-04,1,2421.0,3
2018-05-04,2,7686.0,4
2018-05-05,1,1933.0,5
2018-05-05,2,7162.0,6
2018-05-06,1,1084.0,0
2018-05-06,2,5843.0,1
2018-05-07,1,3057.0,2
2018-05-07,2,5969.0,3
2018-05-08,1,2452.0,4
2018-05-08,2,7989.0,5
2018-05-09,1,2590.0,6
2018-05-09,2,11412.0,0
2018-05-10,1,2638.0,1
2018-05-10,2,12916.0,2
2018-05-11,1,2440.0,3
2018-05-11,2,17958.0,4
2018-05-12,1,1852.0,5
2018-05-12,2,23084.0,6
2018-05-13,1,1038.0,0
2018-05-13,2,13879.0,1
2018-05-14,1,2633.0,2
2018-05-14,2,27008.0,3
2018-05-15,1,2607.0,4
2018-05-15,2,31037.0,5
2018-05-16,1,2823.0,6
2018-05-16,2,31103.0,0
2018-05-17,1,2604.0,1
2018-05-17,2,33831.0,2
2018-05-18,1,2599.0,3
2018-05-18,2,33677.0,4
2018-05-19,1,2030.0,5
2018-05-19,2,34026.0,0
2018-05-20,1,1114.0,1
2018-05-20,2,29447.0,2
2018-05-21,1,3033.0,4
2018-05-21,2,25745.0,2
2018-05-22,1,2623.0,3
2018-05-22,2,25687.0,4
2018-05-23,1,2681.0,5
2018-05-23,2,24118.0,6
2018-05-24,1,2713.0,0
2018-05-24,2,21160.0,1
2018-05-25,1,2556.0,2
2018-05-25,2,19544.0,3
2018-05-26,1,2004.0,4
2018-05-26,2,18900.0,5
2018-05-27,1,1014.0,6
2018-05-27,2,15801.0,0
2018-05-28,1,2871.0,1
2018-05-28,2,12321.0,2
2018-05-29,1,2597.0,3
2018-05-29,2,7573.0,4
2018-05-30,1,2559.0,5
2018-05-30,2,2546.0,6
2018-05-31,1,4379.0,0
2018-05-31,2,2171.0,1
2018-06-01,1,327.0,2
2018-06-01,2,8306.0,3
2018-06-02,1,1964.0,4
2018-06-02,2,10620.0,6
2018-06-03,1,1054.0,0
2018-06-03,2,5286.0,1
2018-06-04,1,3234.0,2
2018-06-04,2,10754.0,3
2018-06-05,1,3150.0,4
2018-06-05,2,9934.0,5
2018-06-06,1,3228.0,6
2018-06-06,2,10487.0,0
2018-06-07,1,3232.0,1
2018-06-07,2,11064.0,2
2018-06-08,1,3169.0,3
2018-06-08,2,10305.0,4
2018-06-09,1,2663.0,5
2018-06-09,2,13238.0,6
2018-06-10,1,1620.0,0
2018-06-10,2,8659.0,1
2018-06-11,1,3913.0,2
2018-06-11,2,21767.0,3
2018-06-12,1,3571.0,4
2018-06-12,2,31298.0,5
2018-06-13,1,4161.0,6
2018-06-13,2,34090.0,0
2018-06-14,1,4532.0,1
2018-06-14,2,33836.0,2
2018-06-15,1,4756.0,3
2018-06-15,2,32713.0,4
2018-06-16,1,2377.0,5
2018-06-16,2,30218.0,6
2018-06-17,1,1555.0,0
2018-06-17,2,20232.0,1
2018-06-18,1,3907.0,2
2018-06-18,2,24126.0,3
2018-06-19,1,3272.0,4
2018-06-19,2,33984.0,5
2018-06-20,1,3454.0,6
2018-06-20,2,33705.0,0
2018-06-21,1,3357.0,1
2018-06-21,2,35131.0,2
2018-06-22,1,3569.0,3
2018-06-22,2,30146.0,4
2018-06-23,1,2619.0,5
2018-06-23,2,26395.0,6
2018-06-24,1,1309.0,0
